,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
0,saint george,90,GR,1576713639,93,39.45,22.34,10.0,2.6
1,butaritari,0,KI,1576713640,78,3.07,172.79,28.93,4.66
2,smithers,90,CA,1576713490,97,54.78,-127.17,0.0,2.1
3,cape town,40,ZA,1576713615,77,-33.93,18.42,17.22,4.6
4,pangoa,100,PE,1576713644,97,-12.12,-73.0,20.87,0.17
5,eyl,91,SO,1576713646,79,7.98,49.82,26.04,10.68
6,jamestown,0,AU,1576713647,6,-33.21,138.6,39.61,4.05
7,ushuaia,90,AR,1576713648,87,-54.81,-68.31,8.0,3.1
8,baykit,89,RU,1576713649,99,61.68,96.39,-24.62,0.42
9,mataura,97,NZ,1576713651,53,-46.19,168.86,16.11,4.47
10,boca do acre,100,BR,1576713652,95,-8.76,-67.39,23.93,1.26
11,lebu,20,ET,1576713653,76,8.96,38.73,11.0,4.6
12,boden,70,SE,1576713655,92,65.83,21.69,-12.0,1.0
13,partizanskoye,100,RU,1576713656,90,53.35,78.35,-10.45,5.11
14,loudeac,100,FR,1576713657,100,48.18,-2.75,12.22,7.2
15,bluff,8,AU,1576713658,40,-23.58,149.07,28.35,6.69
16,adrar,0,DZ,1576713660,43,27.87,-0.29,10.0,2.6
17,batouri,79,CM,1576713661,30,4.44,14.36,25.21,1.1
18,dauphin,1,CA,1576713662,73,51.15,-100.04,-4.0,7.7
19,nicoya,75,CR,1576713602,66,10.15,-85.45,29.0,6.7
20,konevo,61,BG,1576713664,88,41.67,25.61,11.67,0.45
21,manhattan,1,US,1576713620,64,39.18,-96.57,4.0,1.5
22,kapaa,40,US,1576713667,65,22.08,-159.32,28.0,6.2
23,rikitea,100,PF,1576713668,83,-23.12,-134.97,25.24,4.72
24,elliot lake,1,CA,1576713669,65,46.37,-82.65,-16.0,7.2
25,khartoum,0,SD,1576713670,28,15.59,32.54,21.0,4.6
26,albany,90,US,1576713637,62,42.65,-73.75,-4.0,8.2
27,hilo,75,US,1576713673,61,19.71,-155.08,27.0,5.7
28,upernavik,56,GL,1576713542,51,72.79,-56.15,-10.84,1.85
29,pisco,75,PE,1576713472,30,-13.71,-76.2,22.0,8.2
30,college,20,US,1576713677,70,64.86,-147.8,-17.22,2.1
31,karratha,0,AU,1576713678,51,-20.74,116.85,31.04,4.33
32,pangnirtung,75,CA,1576713543,66,66.15,-65.72,-9.0,2.1
33,dikson,100,RU,1576713680,94,73.51,80.55,-15.05,3.51
34,krynychky,90,UA,1576713681,93,48.37,34.46,7.0,4.0
35,new norfolk,20,AU,1576713683,28,-42.78,147.06,20.0,9.3
36,zyryanka,100,RU,1576713684,100,65.73,150.89,-34.73,0.2
37,vaini,19,IN,1576713685,93,15.34,74.49,17.42,3.44
38,talnakh,75,RU,1576713686,84,69.49,88.39,-16.0,4.0
39,kavieng,71,PG,1576713688,68,-2.57,150.8,28.78,1.62
40,alta floresta,70,BR,1576713689,86,-9.87,-56.08,24.58,1.39
41,nizhyn,37,UA,1576713690,92,51.05,31.88,6.18,4.62
42,souillac,69,FR,1576713691,82,45.6,-0.6,13.33,9.3
43,buchanan,20,LR,1576713693,94,5.88,-10.05,25.0,1.28
44,praia,40,BR,1576713694,57,-20.25,-43.81,27.0,5.7
45,busselton,49,AU,1576713695,51,-33.64,115.35,23.33,8.43
46,longyearbyen,40,NO,1576713696,55,78.22,15.63,-13.0,9.3
47,puerto ayora,40,EC,1576713698,57,-0.74,-90.35,27.0,6.2
48,tayginka,70,RU,1576713699,88,55.63,60.5,-8.71,3.78
49,klaksvik,13,FO,1576713700,80,62.23,-6.59,4.0,2.1
50,gorontalo,78,ID,1576713702,84,0.54,123.06,26.33,1.72
51,katsuura,75,JP,1576713703,87,33.93,134.5,7.0,2.1
52,molteno,79,ZA,1576713704,79,-31.4,26.36,12.17,1.27
53,port alfred,100,ZA,1576713705,71,-33.59,26.89,18.33,2.03
54,zagon,91,RO,1576713706,89,45.77,26.11,0.56,0.64
55,yerbogachen,100,RU,1576713708,98,61.28,108.01,-25.29,1.56
56,parsabad,0,AZ,1576713709,100,39.65,47.92,1.0,2.1
57,guerrero negro,100,MX,1576713710,34,27.97,-114.04,18.0,2.84
58,coahuayana,0,MX,1576713711,43,18.62,-100.35,26.48,1.12
59,port elizabeth,20,US,1576713712,62,39.31,-74.98,1.67,5.1
60,san quintin,22,PH,1576713714,74,17.54,120.52,23.61,1.71
